Gene Symbol	CD10	CD31	CD45	EPCAM
ABCB1	1.2	22.63	7.33	1.42
ABCD4	11.2	69.64	14.35	11.87
ABCG1	2.64	55.62	14.91	17.48
ABCG2	3.4	13.92	1.11	1.94
ABHD11	3.22	4.7	4.11	16.64
ABI3	1.56	30.46	19.81	1
ABLIM3	11.42	38.57	3.01	3.33
AC004540.5	1.53	9.26	1.16	2.46
AC017101.10	2.25	10.09	1.68	3.06
AC073410.1	1.21	12.65	1.33	1.64
ACAP1	2.25	1.61	25.4	2
ACE	2.48	137.57	8.1	3.16
ACKR1	1.3	1098.42	1.17	1.08
ACTA2	899.24	17.25	7.5	12.21
ACVRL1	20.37	202.93	2.33	1.04
ACY1	7.05	10.35	3.84	33.15
ADAM12	140.55	3.21	3.83	15
ADAM15	8.24	91.53	6.66	32.81
ADAM8	1.01	1	14.47	1.86
ADAMTS1	80	329.06	2.46	49.11
ADAMTS12	103.04	2.62	1.03	1
ADAMTS5	4.64	10.82	1	1.02
ADAMTS6	3.18	12.74	1.27	1.76
ADAP2	1.05	2.86	17.77	4.68
ADCY4	2.91	149.76	3.11	2.15
ADGRF5	3.27	227.96	1.34	23.56
ADGRL2	27.54	299.62	1.25	5.21
ADGRL4	1.52	168.02	1	1
ADPRH	6.67	29.08	7.67	3.45
AEBP1	644.97	34.66	1.86	2.33
AFAP1L1	2.17	77.68	1	1.98
AHCY	23.8	15.29	5.13	79.97
AIF1	1.26	1.54	214.93	1.78
AIF1L	2.72	39.76	1.06	8.94
AKAP1	7.14	19.95	8.15	45.25
AKAP2	64.34	367.05	19	24.36
ALCAM	3.87	10.52	25.72	128.35
ALKBH2	6.82	8.1	2.12	19.23
ALOX5	1.14	2.68	39.27	2.26
ALOX5AP	1.34	11.51	287.44	1.18
AMICA1	1.17	1.35	51.22	1
ANGEL1	10.2	68.13	12.65	17.28
ANGPT2	2.79	240.52	1.39	2.17
ANGPTL2	317.64	111.89	1.25	1.91
ANO2	1	42.75	1.03	1.2
ANTXR1	649.43	21.54	2.98	55.07
AOAH	1	1.93	35.49	1.39
AP000223.42	1.22	10.15	2.02	1.97
AP001442.2	2.28	13.22	1.36	2.72
AP1M2	1.11	1	1	23.38
APLNR	2.23	168.59	1.03	1.32
APOA1BP	21.09	25.59	21.12	107.44
APOBR	1	1	15.05	1.05
APOL3	17.34	129.19	22.9	17.95
APOLD1	4.73	103.32	1.8	4.3
APP	423.73	1485.95	36.95	511.3
AQP1	8.38	1310.3	2.24	22.93
ARAP3	3.07	75.41	2.62	5.02
ARGLU1	9.61	90.64	17.31	13.57
ARHGAP15	2.92	1.25	27.59	1.16
ARHGAP18	7.37	67.14	20.55	12.63
ARHGAP23	8.61	60.93	1.73	10.58
ARHGAP29	4.64	146.19	1.23	4.44
ARHGAP30	1.53	1.72	32.14	2.47
ARHGAP31	8.66	79.92	5.92	2.69
ARHGAP4	1	7.17	13.01	1.22
ARHGAP6	4.3	15.79	1.77	1.17
ARHGAP9	1.02	1.68	116.4	1.9
ARHGEF10	26.42	68.92	1.89	10.21
ARHGEF15	1.04	112.68	1.02	1.02
ARHGEF3	15.1	125.38	26.85	32.27
ARHGEF35	2.83	2.52	1.83	30.18
ARL15	7.02	89.57	6.2	8.77
ARRB1	6.61	100.36	9.39	18.77
ARRB2	3.95	3.42	43.76	9.49
ARRDC3	221.61	567.38	50.49	83.19
ASRGL1	1	39.78	2.01	9.24
ATOH8	1.84	8.34	1.1	2.45
ATP11C	23.31	56.63	6.87	21.88
AURKA	1.77	2.35	4.58	30.69
B3GNT9	29.82	4.23	2.29	8.33
BAALC	1.95	17.04	1.66	5.51
BCL6B	3.32	143.13	1.16	1.05
BEND7	3.88	22.87	1.01	3.56
BGN	4492.01	266.62	2.1	1.54
BICC1	95.93	1.03	1.03	1.26
BIN2	1.02	1.99	35.42	1
BIRC5	2.52	3.44	3.54	27.32
BMP6	1.81	44.57	3.74	5.95
BMPR2	47.53	262.87	7.38	29.06
BNC2	85.97	18.96	2.5	1.55
BNIP3	17.13	12.53	6.68	45.27
BRCC3	7.14	17.15	5.48	37.52
BTBD3	22.29	77.79	3.31	26.75
C10orf10	213.98	436.68	3.15	14.15
C10orf11	3.37	18.23	4.5	7.05
C10orf128	1.81	68.45	14.01	1.08
C11orf80	2.2	3.26	6.12	12.97
C14orf1	17.17	21.76	8.27	56.84
C19orf33	1.13	2.66	2.32	66.05
C1QB	1.76	1.21	110.25	1.32
C1QC	1.54	6.35	154.24	1.25
C1QTNF5	63.92	127.12	1.83	1.99
C1orf115	8.29	31.17	1.42	6.42
C1orf162	1.4	6.35	62.62	1.42
C1orf54	32.82	41.78	2.69	2.24
C22orf34	1	7.93	4.52	1.03
C2CD4B	1.07	15.83	1	1.15
C3AR1	2.11	1.63	33.39	1.51
C3orf52	1.55	6.16	1.54	17.5
C5AR1	1.5	2.67	112.68	4.35
C7	83.15	141.2	1.02	5.72
CALCRL	6.65	651.46	2.51	4.32
CAMSAP3	1	1	1.02	5.2
CAPN1	26.06	29.31	24.84	125.37
CARD16	6.21	51.94	17	8.75
CARD6	8.9	31.47	3.12	6.9
CARD8	13.33	102.72	48.19	8.57
CASP10	2.65	75.79	15.78	12.79
CAV1	51.26	636.22	5.39	96.58
CAV2	17.14	93.23	2.22	30.09
CBLC	1	1.05	1	7.59
CBS	2.79	1.26	1.89	9.87
CCDC121	3.54	6.24	2.92	15.75
CCDC50	34.99	93.98	10.34	21.48
CCDC51	2.06	4.01	1.36	14.81
CCDC64	1.08	1.14	16.81	3.65
CCDC69	10.15	92.15	36.15	5.8
CCDC80	452.97	36.46	1.25	4.95
CCDC82	12.94	27.24	3.76	7.61
CCL14	1.13	841.95	1	1
CCL18	1.67	2.62	80.9	1.91
CCL21	6.49	2830.06	1.08	1.43
CCL5	10.18	3.23	235.13	1.47
CCNB1	2.89	4.37	3.78	39.04
CCNL2	20.37	91.64	22.71	24
CCT3	42.05	73.18	16.12	177.74
CCT5	84.81	183.29	41.97	424.73
CD163	1	1.25	36.79	1.11
CD200	21.3	105.37	1.42	1
CD207	1	1.32	9	1.08
CD22	2.3	2.71	14.59	1.34
CD248	127.55	3.22	1.05	1.12
CD300LF	1	1.15	10.52	1
CD33	1	1.48	6.85	1
CD34	8.45	577.25	2.28	1.06
CD36	2.38	126.51	10.18	23.85
CD37	2.04	5.86	66.99	1.89
CD4	52.52	3.32	59.88	1.24
CD40	10.88	28.7	7.83	1.69
CD5	1.09	1.14	34.11	1.12
CD53	1.19	4.8	161.07	1.22
CD59	145.64	694.24	23.91	169.6
CD68	45.89	13.33	204.85	35.56
CD84	1.03	1.67	22.69	1.03
CD93	1.18	717.66	19.52	1.18
CD99P1	6.03	20.96	3.27	3.46
CDA	1.06	27.95	6.3	11.97
CDCA5	1.26	1.77	4.85	17.85
CDCA7L	5.19	3.16	4.41	37.4
CDH1	5.34	4.35	4.92	203.79
CDH11	573.14	37.26	1.56	64.87
CDH26	1.1	4.97	1.11	9.19
CDH5	1.34	487.14	1.13	1.21
CDK1	1.26	2.56	1.76	8.84
CDK17	18.26	102.15	18.64	19.5
CDKL1	2.32	17.23	3.33	7.21
